catalog_id,sku,catalog_description,active,product_url,lastmod
CAT-0001,10024438,Costco Shop Card,Y,https://www.costco.com/costco-shop-card.product.10024438.html,2026-05-14
CAT-0002,10027237,"Nature'S Way Joint Movement Glucosamine Extra Strength, 33.8 fluid Ounces",Y,https://www.costco.com/nature%26apos%3bs-way-joint-movement-glucosamine-extra-strength%2c-33.8-fluid-ounces.product.10027237.html,2026-05-14
CAT-0003,10031413,"Tums Antacid Ultra Strength, 265 Chewable Tablets",Y,https://www.costco.com/tums-antacid-ultra-strength%2c-265-chewable-tablets.product.10031413.html,2026-05-14
CAT-0004,11072245,"Kirkland Signature Fish Oil 1000 Mg., 400 Softgels",Y,https://www.costco.com/kirkland-signature-fish-oil-1000-mg.%2c-400-softgels.product.11072245.html,2026-05-14
CAT-0005,11196977,Mazzetti Traditional Balsamic Vinegar of Modena Aged 12 Years,Y,https://www.costco.com/mazzetti-traditional-balsamic-vinegar-of-modena-aged-12-years.product.11196977.html,2026-05-14
CAT-0006,11245398,"Kirkland Signature Glucosamine with Msm, 375 Tablets",Y,https://www.costco.com/kirkland-signature-glucosamine-with-msm%2c-375-tablets.product.11245398.html,2026-05-14
CAT-0007,11296721,"Nature Made Triple Omega 3 6 9, 180 Softgels",Y,https://www.costco.com/nature-made-triple-omega-3-6-9%2c-180-softgels.product.11296721.html,2026-05-14
CAT-0008,11300453,Amarr Garage Doors and Liftmaster Openers,Y,https://www.costco.com/amarr-garage-doors-and-liftmaster-openers.product.11300453.html,2026-05-14
CAT-0009,11312465,"Kirkland Signature Aller Tec, 365 Tablets",Y,https://www.costco.com/kirkland-signature-aller-tec%2c-365-tablets.product.11312465.html,2026-05-14
CAT-0010,11318658,"Refresh Plus Preservative Free Lubricant Eye Drops, 100 Single Use Containers",Y,https://www.costco.com/refresh-plus-preservative-free-lubricant-eye-drops%2c-100-single-use-containers.product.11318658.html,2026-05-14
CAT-0011,11329908,Ashfield Bedroom Collection In White,Y,https://www.costco.com/ashfield-bedroom-collection-in-white.product.11329908.html,2026-05-14
CAT-0012,11487038,"Kirkland Signature Calcium 600 Mg. with Vitamin D3, 500 Tablets",Y,https://www.costco.com/kirkland-signature-calcium-600-mg.-with-vitamin-d3%2c-500-tablets.product.11487038.html,2026-05-14
CAT-0013,11489095,"Kirkland Signature Ibuprofen 200 Mg., 1,000 Tablets",Y,https://www.costco.com/kirkland-signature-ibuprofen-200-mg.%2c-1%2c000-tablets.product.11489095.html,2026-05-14
CAT-0014,11496102,"Natrol 5 Htp Plus Mood & Relaxation 100 Mg., 150 Time Release Tablets",Y,https://www.costco.com/natrol-5-htp-plus-mood-%26-relaxation-100-mg.%2c-150-time-release-tablets.product.11496102.html,2026-05-14
CAT-0015,11501138,"Kirkland Signature Hair Regrowth Treatment Extra Strength for Men, 5% Minoxidil Topical Solution, 2 fl oz, 6 Pack",Y,https://www.costco.com/kirkland-signature-hair-regrowth-treatment-extra-strength-for-men%2c-5%25-minoxidil-topical-solution%2c-2-fl-oz%2c-6-pack.product.11501138.html,2026-05-14
CAT-0016,11502976,40 Stem Calla Lilies and 20 Stem Hydrangea,Y,https://www.costco.com/40-stem-calla-lilies-and-20-stem-hydrangea.product.11502976.html,2026-05-14
CAT-0017,11511923,Pacifica Bedroom Collection,Y,https://www.costco.com/pacifica-bedroom-collection.product.11511923.html,2026-05-14
CAT-0018,11515162,"Es Robbins Chair Mat for Hard floors, 46 X 60 No Lip, Clear",Y,https://www.costco.com/es-robbins-chair-mat-for-hard-floors%2c-46-x-60-no-lip%2c-clear.product.11515162.html,2026-05-14
CAT-0019,11515171,"Es Robbins Chair Mat for High Pile Carpet, 45 X 53 with Lip, Clear",Y,https://www.costco.com/es-robbins-chair-mat-for-high-pile-carpet%2c-45-x-53-with-lip%2c-clear.product.11515171.html,2026-05-14
CAT-0020,11522363,"Tylenol Extra Strength Acetaminophen 500 Mg, Fever Reducer & Pain Reliever, 325 Caplets",Y,https://www.costco.com/tylenol-extra-strength-acetaminophen-500-mg%2c-fever-reducer-%26-pain-reliever%2c-325-caplets.product.11522363.html,2026-05-14
CAT-0021,11535056,"Ecos Liquid Laundry Detergent, Magnolia & Lily, 210 Loads, 210 fl oz, 2 Count",Y,https://www.costco.com/ecos-liquid-laundry-detergent%2c-magnolia-%26-lily%2c-210-loads%2c-210-fl-oz%2c-2-count.product.11535056.html,2026-05-14
CAT-0022,11543755,"Advil Ibuprofen 200 Mg., Pain Reliever/Fever Reducer, 360 Tablets",Y,https://www.costco.com/advil-ibuprofen-200-mg.%2c-pain-reliever%2ffever-reducer%2c-360-tablets.product.11543755.html,2026-05-14
CAT-0023,11590056,"Refresh Tears Lubricant Eye Drops Multi Pack, 65 Ml.",Y,https://www.costco.com/refresh-tears-lubricant-eye-drops-multi-pack%2c-65-ml..product.11590056.html,2026-05-14
CAT-0024,11602332,"Kirkland Signature Non Drowsy Allerclear Antihistamine 10 Mg., 365 Tablets",Y,https://www.costco.com/kirkland-signature-non-drowsy-allerclear-antihistamine-10-mg.%2c-365-tablets.product.11602332.html,2026-05-14
CAT-0025,11612532,Hon Wave Mesh Mid Back Chair,Y,https://www.costco.com/hon-wave-mesh-mid-back-chair.product.11612532.html,2026-05-14
CAT-0026,11618428,"Popcornopolis Ultimate Classic Assorted Tall Cones, Variety, 24 Count",Y,https://www.costco.com/popcornopolis-ultimate-classic-assorted-tall-cones%2c-variety%2c-24-count.product.11618428.html,2026-05-14
CAT-0027,11622370,"Vitafusion Calcium+D₃, 200 Gummy Vitamins",Y,https://www.costco.com/vitafusion-calcium%2bd%e2%82%83%2c-200-gummy-vitamins.product.11622370.html,2026-05-14
CAT-0028,11630572,"Qunol Mega Coq10 Ubiquinol 100 Mg., 120 Softgels",Y,https://www.costco.com/qunol-mega-coq10-ubiquinol-100-mg.%2c-120-softgels.product.11630572.html,2026-05-14
CAT-0029,11660489,Wakefield King Bedroom Collection,Y,https://www.costco.com/wakefield-king-bedroom-collection.product.11660489.html,2026-05-14
CAT-0030,11660857,"Allstate 3 Years for TVs: $500 To $1,000",Y,https://www.costco.com/allstate-3-years-for-tvs%3a-%24500-to-%241%2c000.product.11660857.html,2026-05-14
CAT-0031,11660874,Allstate 3 Years for TVs Under $500,Y,https://www.costco.com/allstate-3-years-for-tvs-under-%24500.product.11660874.html,2026-05-14
CAT-0032,11672433,"Kirkland Signature Calcium Citrate, Magnesium and Zinc, 500 Tablets",Y,https://www.costco.com/kirkland-signature-calcium-citrate%2c-magnesium-and-zinc%2c-500-tablets.product.11672433.html,2026-05-14
CAT-0033,11672434,"Nature Made Sam E Complete 400 Mg., 60 Tablets",Y,https://www.costco.com/nature-made-sam-e-complete-400-mg.%2c-60-tablets.product.11672434.html,2026-05-14
CAT-0034,11679636,"D'Artagnan 18 Month Aged Boneless Spanish Serrano Ham, 9.5 lbs",Y,https://www.costco.com/d%26apos%3bartagnan-18-month-aged-boneless-spanish-serrano-ham%2c-9.5-lbs.product.11679636.html,2026-05-14
