row_type,source,retrieved_at_utc,menu,category_path,category,subcategory,product_name,product_number,form_code,product_type,availability,size_code,default_size,sku,uri,image_url,notes
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Trending,Trending,,Tropical Butterfly Lemonade Refresher,40579,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/40579/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/TropicalButterflyLemonadeRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Trending,Trending,,Tropical Butterfly Lemonade Refresher,40579,Iced,Beverage,Available,Grande,Grande,11189902,https://www.starbucks.com/menu/product/40579/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/TropicalButterflyLemonadeRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Trending,Trending,,Tropical Butterfly Lemonade Refresher,40579,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/40579/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/TropicalButterflyLemonadeRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Trending,Trending,,Tropical Butterfly Lemonade Refresher,40579,Iced,Beverage,Available,Trenta,Grande,,https://www.starbucks.com/menu/product/40579/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/TropicalButterflyLemonadeRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Trending,Trending,,Butterfly Drink,40578,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/40578/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/ButterflyDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Trending,Trending,,Butterfly Drink,40578,Iced,Beverage,Available,Grande,Grande,11189898,https://www.starbucks.com/menu/product/40578/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/ButterflyDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Trending,Trending,,Butterfly Drink,40578,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/40578/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/ButterflyDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Trending,Trending,,Butterfly Drink,40578,Iced,Beverage,Available,Trenta,Grande,,https://www.starbucks.com/menu/product/40578/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/ButterflyDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Trending,Trending,,Tropical Butterfly Energy Refresher,40623,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/40623/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/TropicalButterflyRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Trending,Trending,,Tropical Butterfly Energy Refresher,40623,Iced,Beverage,Available,Grande,Grande,11190849,https://www.starbucks.com/menu/product/40623/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/TropicalButterflyRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Trending,Trending,,Tropical Butterfly Energy Refresher,40623,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/40623/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/TropicalButterflyRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Trending,Trending,,Tropical Butterfly Energy Refresher,40623,Iced,Beverage,Available,Trenta,Grande,,https://www.starbucks.com/menu/product/40623/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/TropicalButterflyRefresher,
